id,conversation,source_question,reference_answer,safety_considerations,quality_target,latency_target_seconds,cost_target_usd,derived_from,row_index
wo-sme-000,"User: I need help troubleshooting this ABB issue: What is Error code 10039 and possible solution?
Assistant: During startup, the system has found that data in the Serial Measurement Board (SMB) memory is not OK. All data must be OK before automatic operation is possible. Manual jogging is still possible. There are differences between data stored on the SMB and in the controller, possibly due to replacement of SMB, controller, or both. Solution: update the SMB data.
User: Please create a concise work order for a technician based only on this conversation.",What is Error code 10039 and possible solution?,"During startup, the system has found that data in the Serial Measurement Board (SMB) memory is not OK. All data must be OK before automatic operation is possible. Manual jogging is still possible. There are differences between data stored on the SMB and in the controller, possibly due to replacement of SMB, controller, or both. Solution: update the SMB data.",,0.9,10.0,0.05,SME-TestSet.csv,0
wo-sme-001,"User: I need help troubleshooting this ABB issue: How to fix SMB memory is not OK
Assistant: Update the Serial Measurement Board (SMB) data.
User: Please create a concise work order for a technician based only on this conversation.",How to fix SMB memory is not OK,Update the Serial Measurement Board (SMB) data.,,0.9,10.0,0.05,SME-TestSet.csv,1
wo-sme-002,"User: I need help troubleshooting this ABB issue: How to recover if axis computer has lost communication
Assistant: • Check cable between axis computer and Safety System is intact and connected correctly
• Verify power supply to Safety System
• Ensure no extreme electromagnetic interference near robot cabling
User: Please create a concise work order for a technician based only on this conversation.",How to recover if axis computer has lost communication,"• Check cable between axis computer and Safety System is intact and connected correctly
• Verify power supply to Safety System
• Ensure no extreme electromagnetic interference near robot cabling",,0.9,10.0,0.05,SME-TestSet.csv,2
wo-sme-003,"User: I need help troubleshooting this ABB issue: What does error code 40038 mean?
Assistant: LOCAL is illegal in routine variable declaration. Only program data declarations may use LOCAL. Remove the LOCAL attribute.
User: Please create a concise work order for a technician based only on this conversation.",What does error code 40038 mean?,LOCAL is illegal in routine variable declaration. Only program data declarations may use LOCAL. Remove the LOCAL attribute.,,0.9,10.0,0.05,SME-TestSet.csv,3
wo-sme-004,"User: I need help troubleshooting this ABB issue: What is a reference error
Assistant: Depends on the specific reference error number. The system should prompt for more detail since there are many types.
User: Please create a concise work order for a technician based only on this conversation.",What is a reference error,Depends on the specific reference error number. The system should prompt for more detail since there are many types.,,0.9,10.0,0.05,SME-TestSet.csv,4
wo-sme-005,"User: I need help troubleshooting this ABB issue: Why am I getting a programmed forced reduced error
Assistant: Programmed tip force is too high for the tool. Requested motor torque exceeds limits and force is reduced to maximum allowable motor torque.
User: Please create a concise work order for a technician based only on this conversation.",Why am I getting a programmed forced reduced error,Programmed tip force is too high for the tool. Requested motor torque exceeds limits and force is reduced to maximum allowable motor torque.,,0.9,10.0,0.05,SME-TestSet.csv,5
wo-sme-006,"User: I need help troubleshooting this ABB issue: SMB Data is missing. What should I do?
Assistant: If valid data exists in the cabinet, transfer it to SMB memory. If issue persists, check the communication cable to the SMB board. Replace SMB board if needed.
User: Please create a concise work order for a technician based only on this conversation.",SMB Data is missing. What should I do?,"If valid data exists in the cabinet, transfer it to SMB memory. If issue persists, check the communication cable to the SMB board. Replace SMB board if needed.",,0.9,10.0,0.05,SME-TestSet.csv,6
wo-sme-007,"User: I need help troubleshooting this ABB issue: We are getting a Motor phase short circuit. Where should we look?
Assistant: Possible short circuit in cables or connectors between phases or to ground, or inside the motor. Check or replace cables, connectors, and motor.
User: Please create a concise work order for a technician based only on this conversation.",We are getting a Motor phase short circuit. Where should we look?,"Possible short circuit in cables or connectors between phases or to ground, or inside the motor. Check or replace cables, connectors, and motor.",,0.9,10.0,0.05,SME-TestSet.csv,7
wo-sme-008,"User: I need help troubleshooting this ABB issue: Why am I getting a singularity problem
Assistant: Depends on the exact error number. Typically relates to joint 4 or joint 6.
User: Please create a concise work order for a technician based only on this conversation.",Why am I getting a singularity problem,Depends on the exact error number. Typically relates to joint 4 or joint 6.,,0.9,10.0,0.05,SME-TestSet.csv,8
wo-sme-009,"User: I need help troubleshooting this ABB issue: Why am I getting a joint not synchronized error and how to fix it
Assistant: Speed of the joint before power down or failure was too high. Perform a new update of the revolution counter.
User: Please create a concise work order for a technician based only on this conversation.",Why am I getting a joint not synchronized error and how to fix it,Speed of the joint before power down or failure was too high. Perform a new update of the revolution counter.,,0.9,10.0,0.05,SME-TestSet.csv,9
wo-sme-010,"User: I need help troubleshooting this ABB issue: What is the payload for the IRB 140?
Assistant: The payload for the IRB 140 is 6 kg.
User: Please create a concise work order for a technician based only on this conversation.",What is the payload for the IRB 140?,The payload for the IRB 140 is 6 kg.,,0.9,10.0,0.05,SME-TestSet.csv,10
