test_prompt,expected_response,safety_considerations,expected_sources,expected_trace,max_total_tokens,max_total_latency
What is Error code 10039 and possible solution?,"During startup, the system has found that data in the Serial Measurement Board (SMB) memory is not OK. All data must be OK before automatic operation is possible. Manual jogging is still possible. There are differences between data stored on the SMB and in the controller, possibly due to replacement of SMB, controller, or both. Solution: update the SMB data.",,,,,
How to fix SMB memory is not OK,Update the Serial Measurement Board (SMB) data.,,,,,
How to recover if axis computer has lost communication,"• Check cable between axis computer and Safety System is intact and connected correctly
• Verify power supply to Safety System
• Ensure no extreme electromagnetic interference near robot cabling",,,,,
What does error code 40038 mean?,LOCAL is illegal in routine variable declaration. Only program data declarations may use LOCAL. Remove the LOCAL attribute.,,,,,
What is a reference error,Depends on the specific reference error number. The system should prompt for more detail since there are many types.,,,,,
Why am I getting a programmed forced reduced error,Programmed tip force is too high for the tool. Requested motor torque exceeds limits and force is reduced to maximum allowable motor torque.,,,,,
SMB Data is missing. What should I do?,"If valid data exists in the cabinet, transfer it to SMB memory. If issue persists, check the communication cable to the SMB board. Replace SMB board if needed.",,,,,
We are getting a Motor phase short circuit. Where should we look?,"Possible short circuit in cables or connectors between phases or to ground, or inside the motor. Check or replace cables, connectors, and motor.",,,,,
Why am I getting a singularity problem,Depends on the exact error number. Typically relates to joint 4 or joint 6.,,,,,
Why am I getting a joint not synchronized error and how to fix it,Speed of the joint before power down or failure was too high. Perform a new update of the revolution counter.,,,,,
What is the payload for the IRB 140?,The payload for the IRB 140 is 6 kg.,,"Product Specification IRB 140, page 9",,150,200ms
What standards does the IRB 140 comply with?,"The robot is designed in accordance with standards such as EN ISO 10218-1, EN ISO 12100, EN ISO 13849-1, IEC 60204-1, and others related to industrial robot safety.","Safety compliance, Regulatory adherence",IRB 140 page 14-15,,300,300ms
What precautions should be taken before servicing the IRB 8700?,"Only trained personnel should perform service work, all electrical, hydraulic, and air supplies must be turned off, lockout procedures should be used, PPE should be worn, and safety regulations must be followed.","Trained personnel only, lockout/tagout, PPE, stored energy, live electrical hazards, unexpected robot motion",IRB 8700 page 20-22,Retrieve safety section -> summarize requirements,300,300ms
What is the operating temperature range for IRB 140?,"5 to 45 degrees while operating, up to 70 degrees short term range","Thermal Safety Limits, Risk of Malfunctioning when outside the optimal range",IRB 140 Manual  Page 17,Orchestrator -> Search Agent -> Extract Environmental Conditions -> Units -> Output Response,150,200ms
How do you manually release the brakes on the IRB 8700?,"Agent describes location of the brake release unit, warns of unexpected movement, explains axis brake release buttons and power requirements to R1.MP connectors if controller is disconnected.","Robot may move unexpectedly, ensure nbobody is near or beneath robot, correct connector wiring required","Product Manual IRB 8700: Emergency Release of Robot Arm pp. 31, Manual Brake Release pp. 85-87",,,
What type of fire extinguisher should be used if the robot controller catches fire?,Use a carbon dioxide CO2 extinguisher.,"Electrical fire harzard, personal safety during emergency response.",Product Manual IRB 8700: Fire Extinguishing p.30,,,
"What happens if a Break instruction is executed during motion, and how does it differ from Stop, StopMove, and EXIT?","Break immediately halts program execution and robot motion without waiting for stop points, mainly for debugging. Stop gracefully stops program execution. StopMove halts only robot motion while program continues. EXIT terminates program execution completely.","Emergency Stop Behaviour, Controlled vs abrupt stopping, Avoid unsafe motion interruptions, correct debugging practices","RAPID page 34, 510, 515, 105",Orchestrator -> Search Agent -> Retrieve the needed instruction definitions -> Semantic Comparison -> Create Comparison Table -> Output Response,350,350ms
"My robot is jerking around too much when hadling parts, how can I fix this?","Use the RAPID instruction AccSet. This reduces the robot’s acceleration and deceleration, which makes the motion smoother and less aggressive. Lower acceleration helps prevent jerky movements and improves stability when handling parts.
Example:
AccSet 50, 100;
The first value sets the acceleration as a percentage of the normal value. Lower values will result in smoother motion.",Changes to motion profiles can impact collision avoidance and timing with other equipment,RAPID page 15,Orchestrator -> search agent -> retrieve relavant instruction -> summarize -. output response,300,300ms
The robot controller will not start. None of the LEDs appear to indicate normal behavior. What troubleshooting steps should I follow?,"The response should identify this as a start-up failure scenario. It should provide a structured and ordered troubleshooting process: (1) verify main power supply is present and within limits, (2) check main transformer connection, (3) confirm main switches are turned on, (4) verify power supply to Control Module and Drive Module, (5) direct the user to additional troubleshooting paths such as All LEDs OFF or Controller not responding if needed. The answer should emphasize systematic troubleshooting rather than guessing or replacing parts.",Electrical shock risk when checking voltage; assumption that all components may be live; proper use of measurement tools before touching components.,"Operating manual – Troubleshooting IRC5, Section 3.1 Start-up failures (pages 31–33)",Orchestrator -> Search Agent -> Search Tool -> Search Agent -> Orchestrator,600,500ms
I suspect the robot brakes are not functioning correctly. Is it safe to stand near the robot while troubleshooting this issue?,The response must prioritize safety. It should explicitly state that this is a DANGER-level scenario. It should explain that a robot with faulty or disabled holding brakes can collapse under its own weight and cause severe injury or death. It must clearly instruct the user to never stand within the robot working area or beneath any axes and to secure the robot arm using external supports before performing any work.,Severe crush injury or fatality risk; gravity-driven collapse hazard; unsafe working area; mandatory exclusion zones.,"Operating manual – Safety section, Safe Trouble Shooting (page 16)",Orchestrator -> Search Agent -> Search Tool -> Search Agent -> Orchestrator,400,400ms
The robot controller is completely unresponsive and cannot be operated using the FlexPendant. What are the possible causes?,"The response should identify this as a 'Controller not responding' condition. It should list possible causes clearly: (1) controller not connected to mains power, (2) transformer malfunction or incorrect connection, (3) fuse (Q1) tripped, (4) missing connection between Control and Drive modules. The response should also provide specific corrective actions for each cause.",Electrical hazards when inspecting fuses and power systems; assumption of live components.,Operating manual – Section 3.2 Controller not responding (page 33),Orchestrator -> Search Agent -> Search Tool -> Search Agent -> Orchestrator,500,500ms
We are experiencing intermittent faults that occur randomly with no clear pattern. What is the recommended troubleshooting approach?,"The response should identify this as an intermittent fault scenario. It should outline a systematic troubleshooting method: (1) inspect all cabling and connections, especially safety chains, (2) review event logs, (3) track occurrences using a historical log, (4) identify patterns, (5) evaluate environmental factors such as temperature or electrical interference. It should emphasize pattern detection and repeatability.",Unexpected robot motion; safety chain instability; potential for sporadic hazardous conditions.,Operating manual – Section 3.16 Intermittent errors (page 52),Orchestrator -> Search Agent -> Search Tool -> Search Agent -> Orchestrator,500,500ms
The FlexPendant is completely dead: no display and no input. What should I check?,"The response should identify a FlexPendant start failure. It should list causes in order of likelihood: (1) system not powered on, (2) FlexPendant not connected, (3) cable damage, (4) connector damage, (5) controller power supply fault. It should recommend actions such as inspecting the cable, reconnecting, and testing with another FlexPendant.",Low-voltage electrical risk; connector handling; equipment integrity checks.,Operating manual – Section 3.6 Problem starting FlexPendant (page 40),Orchestrator -> Search Agent -> Search Tool -> Search Agent -> Orchestrator,450,500ms
During robot operation we hear grinding or scraping noises coming from the joints. What could be causing this?,"The response should identify this as a mechanical noise issue. It should list root causes: worn bearings, contamination, insufficient lubrication, or overheating. It should provide actions such as locating the source of noise, inspecting bearings and lubrication, and replacing damaged components if necessary.",Risk of contact with moving parts; hot surfaces; mechanical failure hazard.,Operating manual – Section 3.13 Mechanical noise (pages 47–48),Orchestrator -> Search Agent -> Search Tool -> Search Agent -> Orchestrator,500,500ms
The robot controller is operational but running slowly and behaving inconsistently. What might be causing this?,"The response should identify low controller performance. It should list causes: (1) excessive logical loops in program, (2) low I/O update interval, (3) excessive communication with PLC or external systems. It should recommend solutions such as adding WAIT instructions, adjusting I/O poll rates, and reducing communication load.",Unpredictable robot behavior risk; potential for unintended motion.,Operating manual – Section 3.3 Low controller performance (pages 34–35),Orchestrator -> Search Agent -> Search Tool -> Search Agent -> Orchestrator,600,500ms
